abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
m.,taneczne I i II m. Grupa Reakcja I ze Szkoły Tańca i Ruchu Reakcja w Wieliczce II <mask> Jamaica Wawe Studio Tańca 'R' Sułkowice  * Zespoły rockowe I m. Zespół OSTATNI W,sobota,sobota,"tensor([[ 71947,  36683,    336,    259,    266,   2052,    326,    260,  22970,
            262,    788,    262, 101193,    336,   1478,    259,  87765,   4430,
           1739,  27274,    262,    259,    266,    531, 110256,    788,    262,
         101193,    414,   8245,  17069, 118769,   2052,   1042,  55114,    669,
            259,  96037, 167412,    265,  12508,   1739,  27274,    262,    259,
            277,    582,    277,    320,  77447, 220085,    904,   5627, 198950,
            276,  14706,   3407,    336,    326,    260,   5627,  35268,    259,
         136258,  88942,    564,      1]])","tensor([[  259, 41784,   262,     1]])"
kac.,"naj więk szych ga zet trwa re la cja na ży wo: tak prze ży wa my Oran je kac – al bo Eu ro <mask> Fru wa ją moc ne sło wa o hań bie, wsty dzie, upo ko rze niu. Po wsta ją ran kin gi:",były,były,"tensor([[  1895,    259, 185623,    259,  13117,   1294,    259,  10706,    259,
          70911,    584,    283,    259,  12465,    294,    259,   5318,   3301,
            267,    756,   3645,    259,   5318,    683,   1037, 158870,    384,
            427,    297,    322,    440,    759,   8075,   5345,   1042,  55114,
            669,  39080,    683,    259,   2684,  11525,    448, 101764,    683,
            259,    268,    560,   9161,    837,    265,    261,    414,  23734,
            259,   5732,    261,  61033,    675,    259,  20318,    259,   9605,
            260,   1139,    414,   1208,    259,   2684,    259,   1772,    259,
           1999,    718,    267,      1]])","tensor([[ 455, 4430,    1]])"
m.,", a w klubie dziecięcym 2 mkw. Wysokość pomieszczeń nie może być niższa niż 2,5 <mask> Lokal musi być okresowo remontowany, a jego wyposażenie powinno umożliwiać utrzymanie",ojciec,ojciec,"tensor([[   259,    261,    259,    262,    414, 122990,    265,    331, 118315,
           2722,    356,    326,  10450,    260,  52344,    268,  60413,    485,
          61260,   7504,    716,    259,   4123,    265,    455,   1209,    259,
          12729,  30433,    259,  12729,  14834,   1042,  55114,    669,  32412,
          11894,    455,   1209,    259,  18676,   9394,  33808,  22623,    261,
            259,    262,    259,  10778,    414, 113602,    265,  17617,  78113,
            259,    273,  15577,    266,   5129,    259,    273, 103784,    634,
              1]])","tensor([[   259,   1171, 153848,      1]])"
b.,"że do tego chóru złośliwców i żartownisiów nie będę dzisiaj dołączał” – zaznaczył <mask> premier.  Andrzej Duda, pytany „co czuje”, słysząc takie komentarze pod swoim adresem,",litrów,litr,"tensor([[  1810,    342,    259,   4139,    259,  55337,    737,  34410,  10252,
         157946,    259,    266,    259, 119115,  14623,   3246,   1174,    716,
            259,  14398,   1241,  14121,  40071,    342,  32596,  13410,    365,
            322, 108274,  75312,   1042,  55114,    669,   8876,    260,    259,
          78805,   1231,    407,    261, 113551,    680,    565,    771,    317,
          40511,   1206,    259,  98470,  58975,    259,  32026,  47846,    265,
           1012,   7828,    780,   9927,    470,    261,      1]])","tensor([[36300,  1174,     1]])"
t.,"Lubelszczyźnie i Podkarpaciu to ok. 500-510 zł za tonę, a na Dolnym Śląsku - 530-540 zł/<mask> Najwyższe ceny kukurydzy notuje się na północnym zachodzie i zachodzie kraju, gdzie",Zobacz,zobaczyć,"tensor([[ 18524,    701,  67755,  51726,    259,    266,   4841, 140568,  15211,
            288,   5412,    260,   2023,    264,  34265,   4932,    466,    288,
          21150,    261,    259,    262,    294,  15801,   5813,  25394, 130546,
            273,    259,    264,  57132,    264,  24068,   4932,    275,   2709,
          55114,    669,   7339,  32259,    265,    259,  15247, 191775,    276,
          87370,    776,   1466,    947,    294,  49858,  63314,   5813,    466,
          18986,    265,    259,    266,    466,  18986,    265,   8020,    273,
            261,    259,    318,   5732,      1]])","tensor([[  259, 52793,     1]])"
Ass.,"się Roskomnadzor, to między innymi OpenVPN, NordVPN, IPVanish, TorGuard i Hide My <mask> Większość z nich stanowczo odmówiła spełnienia żądań regulatora, zapewniając swoich",jeziorem,jezioro,"tensor([[   947,  11268,   3070,  59658,    261,    288,  47485,    281,  17981,
           7070,  90039,    261,   6137,  90039,    261,   5394,  39029,   3114,
            261,   6858,  87926,    259,    266,  77061,   2368,   1042,  55114,
            669,    564, 178000,   5580,    397,  10154,  16195,    268, 112942,
            682,  18365,   4005,    259,    263,  18414,   3631,    259,  39245,
          70920,  74345,    262,    261,    466,  25825,  25738,   7828,   2623,
              1]])","tensor([[125598,  57418,      1]])"
g.,Biskupia 1:2 g. 14 - Piotr Pankowski (Kruszwica)  BOSiR-Dąb Barcin - Noteć Gębice 3:0 <mask> 17 - Jacek Siwa (Trzemeszno)  Zagłębie Piechcin - Victoria Kołaczkowo 1:1 g. 17,byłego,były,"tensor([[ 13633,   9035,    539,  69717,    259,    318,    260,    818,    259,
            264,  65124,   7280,  52478,    274,  30774,  22267, 189654,    271,
            259, 104139,    266,    582,    264,    403,    761,    316, 144235,
            348,    259,    264,  10821,   1209,    489, 182687,    541, 103260,
           1042,  55114,    669,    911,    259,    264,  93629,    592,    320,
           9189,    274,  24714,  58952,  42081,    271,   1515,  67243,    634,
          15951,    697,   9495,    259,    264,  20692,   1590,   4005, 214940,
            268,  40484,    259,    318,    260,    911,      1]])","tensor([[  455, 49152,     1]])"
m.,"tych ostatnich, ze względów bezpieczeństwa, ich wysokość nie może przekroczyć 4-5 <mask> Bez względu na to, czy zostaną sprzedane, w najbliższych latach i tak trzeba je",mas.,mas.,"tensor([[   259,  10011,  21752,   2623,    261,   1478,    259,  42873,  15407,
          70844,    259,  68423,    262,    261,   1356,  23032,   5580,    716,
            259,   4123,    265, 126318,    268,  35481,  44680,   1042,  55114,
            669,  17621,    259,  42873,  15407,   1176,    294,    288,    261,
           5598,  21308,   5103,  69052,    405,    261,    414,   1895,  31921,
          13117,    283,  17012,    259,    266,    756,    259,  39178,    262,
            384,      1]])","tensor([[1634,  260,    1]])"
w.,"Powiedziałaś, jaka jest rola współczesnej kobiety i kim jest przywódczyni w XXI <mask> A jaką liderką jest Marta Pszczoła?  Przede wszystkim patrzę na drugiego człowieka.",pa.,pa.,"tensor([[  1139, 130246,    262,   3376,    261, 101557,   1402,   9616,    262,
          39601,  66701,   1057,  32750,    276,    259,    266,   9101,   1402,
           2890,  39821,  88593,    414,  50277,   1042,  55114,    669,    298,
           1801,    761,  15729,   5665,   1402,  48896,    363, 168976,   4005,
            291,  96029,    265,  13915,    282,   3777,  73194,    294,   4911,
          52770,    259,  52210,    262,    260,      1]])","tensor([[555, 260,   1]])"
n.,15) Cracovia II – Unia (n. 11) Spartakus – Korona II (n. 15.30) Łysica – Wisła II (<mask> 15) Soła – Poprad (s. 15.30) Beskid – Podhale (s. 15)  Beskid – Garbarnia (pt. 15.,godzinę,godzina,"tensor([[   670,    271,  47121, 129374,   2052,    322,   6988,    262,    274,
            272,    260,    730,    271,    259, 147978,    438,    322, 170857,
           2052,    274,    272,    260,    259, 144882,    271,  27410,    276,
         115645,    322,  69143,   4005,   2052,    274,   2709,  55114,    669,
            670,    271,   1525,   4005,    322,  10164,   9600,    274,    263,
            260,    259, 144882,    271, 191975,    525,    322,   4841,  30943,
            274,    263,    260,    670,    271, 191975,    525,    322, 102901,
         148316,    274,   2766,    260,   5383,      1]])","tensor([[29324,  1241,     1]])"
n.,"10).  Ogólnopolski turniej kobiet Wieliczka 2013, hala Solnego Miasta w Wieliczce (<mask> 10).",versus,versus,"tensor([[   475,    483,    443, 203026,  53171,   3567,  23518,  32750,  84689,
            266,  90009,    815,    261,  27350,   6069,   5663,   1784,   3129,
            414,   8245,  17069, 118769,    274,   2709,  55114,    669,    475,
            483,      1]])","tensor([[6135,  438,    1]])"
s.,"dyrektywy 95/46/WE (ogólne rozporządzenie o ochronie danych) (Dz.U. L 119 z 4.5.2016, <mask> 1)  © Licencja na publikację © ℗ Wszystkie prawa zastrzeżone Źródło: Rzeczpospolita",ojciec,ojciec,"tensor([[ 36562, 127155,    276,   6942, 125064,    275,  21829,    274,    268,
         208872,    265,  32230,  70440,    265,    259,    268,    597, 186365,
            350,   2765,    271,    274,  89753,    260,    806,    260,    458,
          15548,    397,   1872, 213725,    261,   1042,  55114,    669,   7151,
           4333,    259, 102141,    462,    294,  12168,  34001,   4333,    259,
         242077,    259,  79824,    259,  48601,    466, 126119,  90681,    259,
          73297,  92364,    267,    531, 210727,   9719, 159579,      1]])","tensor([[   259,   1171, 153848,      1]])"
w.,stolarza Szynaka Meble 89 645 53-92 Iława 2000 Pomocnik stolarza Drewneks 896495502 <mask> 271 Rodzone 2000 Operator maszyn stolarskich Szynaka Meble 89 645 21 28 Lubawa 2000,ojciec,ojciec,"tensor([[   259, 211138,    745,  95288,  37463,    352,  50098,  11579, 131042,
           7682,  89041,    336,  80070,    262,   2995,  68736,    297,   2633,
            259, 211138,    745,    259, 103776,   2098,    263,    259,  59365,
          64072,  58624,   1042,  55114,    669,  96730,  18693,  12874,   2995,
          80126,    326, 164851,    259, 211138,  32824,  95288,  37463,    352,
          50098,  11579, 131042,    987,   1190,   2526,  42555,   2995,      1]])","tensor([[   259,   1171, 153848,      1]])"
p.,"przy okazji, pani prezydent… Czy to prawda, że funkcjonariusz CBA, usunięty przez <mask> Wojtunika, wygrał konkurs w ratuszu i czy to prawda, że został zablokowany przez",sobota,sobota,"tensor([[  2890,  16350,    976,    261,  19058,    259, 111956,    270,    302,
            259,  20176,    288,  54884,    262,    261,   1810,  63823,  84759,
            259, 132277,    261,  15714, 138742,   3715,   1042,  55114,    669,
          49486, 220209,    262,    261,  74865, 193323,  22024,    414,    259,
          89756,   1962,    259,    266,   5598,    288,  54884,    262,    261,
           1810,    259,  14183,    466,  55951,  22623,   3715,      1]])","tensor([[  259, 41784,   262,     1]])"
m.,"artykułu  - Mamy nadzieję, że tendencja spadkowa powołań została zahamowana - mówi <mask> Jolanta Olech, sekretarka generalna Konferencji Wyższych Przełożonych Żeńskich Zgromadzeń",lata,rok,"tensor([[ 60157,    273,    259,    264,  15677,    276,    294,   8605,   1241,
            261,   1810,  98706,    462,  57383,  37291,    485,  82209,   9161,
            259,  14183,    262,    466,   3372,  33888,    259,    264,    259,
          18365,   1042,  55114,    669,   2851, 129072,  12247,    697,    261,
         143484,    479,   3738,    377,  98508,    976,   5743,   1610,  13117,
          18885,  33865,  31380,  33064,    265, 146921,    736, 100497,  49989,
              1]])","tensor([[51818,     1]])"
p.,"na dyskotekę bo nie byłem w pantoflach… Każdy ma swoje problemy  Chwila, chwila, <mask> Biedroń wszędzie może wchodzić, byle by nie propagował ideologii. Nie przyjmujmy",ż.,ż.,"tensor([[   294, 129061,  19976,  10167,    759,    716,    455,  16032,    414,
          92362,    367,  38234,    302,   1362,   1610,   1582,    496,    259,
            263,  32208,    259, 139379,   1536,  30088,    262,    261,  33857,
            262,    261,   1042,  55114,    669,   2819, 135097,   9161,  99172,
           6324,    259,   4123,    265,    414,  18986,   1209,    261,    455,
            468,    455,    716, 119025,  23126,  65900,    266,    260,   4383,
          45581,    282, 213884,      1]])","tensor([[ 259, 1610,  260,    1]])"
Eco.,"widzę i też ubolewam, że najmłodsza zalecana powieść to jest ""Imię róży"" Umberto <mask> 35 lat już ma. Tak, oczywiście. Czytane we fragmentach i to tych najbardziej atrakcyjnych.",ojca,ojciec,"tensor([[ 58109,   1241,    259,    266,    400,   1610,    259,   6285,  80541,
            282,    261,   1810,   1895, 194322,  30433,  61730,  59982, 123533,
          10442,    288,   1402,    313,    566,  93099,  19952,    276,    311,
            581, 150023,   1042,  55114,    669,   2307,    283,    270,   1218,
           1610,    496,    260,   3105,    261,    259,  62560,  62501,    260,
            259,  20176,  86747,    787,  44639,   1483,    259,    266,    288,
            259,  10011,   1895,   1504,   8605,  63145, 113478,    260,      1]])","tensor([[ 259, 1171,  750,    1]])"
m.in.,"Deklarację o współpracy na rzecz regionu <mask> w dziedzinie czystego powietrza, komunikacji i turystyki podpisał kandydat PiS na",miejsce,miejsce,"tensor([[   259, 174185,  34001,    259,    268,  39601, 146979,    294,  58815,
           8519,    273,   1042,  55114,    669,    414,    259, 105018,   1145,
            259,  60628,   1796,    259,  80030,    262,    261,  73753,    976,
            259,    266,    259, 222308,    650,   1012,  63457,    620, 140103,
            270,   4951,    399,    294,      1]])","tensor([[8401,  265,    1]])"
u.r.,"najwyższym stopniu kontrowersyjny dokument, nie licząc się z wyrażonym 10 grudnia <mask> stanowiskiem PE w tej sprawie, potwierdzającym, zgodnie z zasadą pomocniczości,",kac.,kac.,"tensor([[  1895,  32259,   2722,    259,  64516,    273, 225625,  23603, 160749,
          13668,    261,    716,    615,  49410,    947,    397,  71533,  83873,
            282,    475,  10937,  12574,   1042,  55114,    669,    259,  19327,
            263,  11155,  19001,    414,   5959,    259,  44470,    261,  82698,
         125746,    261,    397,  60262,    397,  36899,    761,   8863,    516,
           2268,   5727,    261,      1]])","tensor([[427, 297, 260,   1]])"
